,Unnamed: 0,Market Demand,Ontario Demand,Ontario Price,Northwest,Northwest Temp,Northwest Dew Point Temp,Northwest Rel Hum,Northeast,Northeast Temp,Northeast Dew Point Temp,Northeast Rel Hum,Ottawa,Ottawa Temp,Ottawa Dew Point Temp,OttawaRel Hum,East,East Temp,East Dew Point Temp,East Rel Hum,Toronto,Toronto Temp,Toronto Dew Point Temp,Toronto Rel Hum,Essa,Essa Temp,Essa Dew Point Temp,Essa Rel Hum,Bruce,Bruce Temp,Bruce Dew Point Temp,Bruce Rel Hum,Southwest,Southwest Temp,Southwest Dew Point Temp,Southwest Rel Hum,Niagara,Niagara Temp,Niagara Dew Point Temp,Niagara Rel Hum,West,West Temp,West Dew Point Temp,West Rel Hum
0,Market Demand,1.0,0.963235655257188,0.3193570288924084,0.320496773828295,0.11264146008592588,0.17497477731552644,0.2184638358685332,0.4854447757024402,0.11340652221648626,0.16470465335724585,0.16508078554979272,0.7882878038061344,0.09895419692721087,0.1668222213507734,0.2165864941828944,0.6257017508827682,0.0388336773773327,0.0756320627302978,0.13124479396673608,0.9093265261273896,0.10448469937323468,0.14758287149040794,0.11996167819960385,0.848273899051798,0.04295437217308592,0.11924743063253446,0.2444793584025707,0.13421740359498974,0.09036850198041448,0.14371370499608085,0.18347526438383155,4.567663217754122e-13,0.14575135170502768,0.21178428237287414,0.10383633224437687,0.014370818783153654,0.049365169219944716,0.13236953150660435,0.09811104653594416,0.0,0.15110427421587602,0.21695467047598552,0.035510821159371035
1,Ontario Demand,0.963235655257188,1.0,0.35571198391381226,0.3099573344202305,0.06922724512254233,0.1359815262464178,0.2345057274348375,0.4728792839237599,0.06695114454870882,0.1211429490594965,0.17440979970372372,0.8181744289111096,0.05077222357038843,0.12089350487466928,0.22364664180058486,0.6289087835705679,0.017671714621615806,0.06253732575404515,0.15300447037045295,0.9477229183984848,0.056737456607681626,0.0990930101537792,0.11471622558721335,0.8597971615608158,0.001994417872421756,0.07530105342601395,0.2428638040167197,0.17941568478590034,0.04421887842099002,0.09977360171777824,0.1901251017928943,2.384016118201224e-13,0.10172602021925403,0.22035910416198765,0.10050933086413284,0.026768057986344417,0.08473946686679178,0.15141705984414902,0.09383545166414403,0.0,0.10568847646509066,0.21376021667937395,0.02124650693630808
2,Ontario Price,0.3193570288924084,0.35571198391381226,1.0,0.15939822561348727,0.08742154083282236,0.1083197143996401,0.07144484656284293,0.2423926855118982,0.09699219734780623,0.11975954565314673,0.07068493047461279,0.2975557501487751,0.09730347016390807,0.12554047276943747,0.09126668063075903,0.2532402675262309,0.03783715500861004,0.05554428250251655,0.08218189879252147,0.30495831675254875,0.10373381198751794,0.11679208588325185,0.03511534696832322,0.3313264552908417,0.04309772250263171,0.07534646964385161,0.116476733175687,0.17061413288336225,0.10748463408946192,0.12332111519953562,0.055773220687222166,1.3941617138667527e-13,0.1203205308258197,0.05319176240321067,0.021323523927279316,0.009850207281330473,0.03960666897251824,0.0452395200148073,0.020676199429977296,0.0,0.11644681114095545,0.03377969504294066,0.02260981426280331
3,Northwest,0.320496773828295,0.3099573344202305,0.15939822561348727,1.0,0.7076668220782508,0.6913189450116709,0.06498669494842367,0.7545713176065989,0.694963749799395,0.6704664693998489,0.07649591705467595,0.390826754888826,0.6750831389564549,0.6536989407553933,0.0422490251434053,0.4149471693632073,0.27463488006144393,0.2692694434977481,0.009850663568620523,0.1238249958453831,0.6785119914067472,0.6288087969877522,0.11027021836539576,0.5558892740588738,0.5547354727939784,0.5540943169546575,0.05193094366730985,0.21360186533857872,0.6651914555122815,0.6520955951487034,0.02794408542420794,3.2365544862465635e-14,0.6542571560813825,0.05147330987587448,0.058557177443313735,0.0652562513648793,0.3625263059817813,0.07898924663585331,0.025482587106745645,0.0,0.6490132575038507,0.05900772245261107,0.1089250957748598
4,Northwest Temp,0.11264146008592588,0.06922724512254233,0.08742154083282236,0.7076668220782508,1.0,0.9287445876633148,0.18801912047017025,0.6935110204438734,0.8905129669632305,0.8198486126480092,0.21223687676750186,0.17294086748878246,0.8424553150016482,0.7736292449587361,0.1783545103435028,0.32106876379202204,0.3351774763488464,0.29960415678384245,0.10406135986202733,0.11791363871265602,0.8529578298153019,0.7611112121880553,0.21109947827817907,0.364387828060343,0.7207376082729477,0.6741998165856762,0.06206067187786991,0.2384026350889607,0.8518444966444192,0.7970197618632251,0.16020367924940604,9.450698254342942e-15,0.7962308252348396,0.19486634853425705,0.08967554426705797,0.08799759535393142,0.4796336022079328,0.06693473377474929,0.04659647059340925,0.0,0.7975236853001213,0.15912169786422414,0.1931583518767535
5,Northwest Dew Point Temp,0.17497477731552644,0.1359815262464178,0.1083197143996401,0.6913189450116709,0.9287445876633148,1.0,0.12730903788073072,0.6993584345119526,0.8713077322291714,0.8567026903059765,0.05342072318249052,0.2406689400994831,0.8158136652717746,0.7943313713534694,0.04706079052589216,0.3110223852920677,0.3181913900437793,0.3060453832889503,0.0469547971862017,0.029235421531616238,0.8452416818777592,0.8015584330492013,0.09006963051721803,0.4065880994064085,0.694698674094815,0.6958081172241426,0.06875794063088446,0.2712354120415579,0.8461014601656767,0.8322641354824196,0.03333399068581922,6.767791254105452e-15,0.8243968725689841,0.04768118547808598,0.12706056650018602,0.09342970042431972,0.4590520154153704,0.0407255462363712,0.07365142407162775,0.0,0.8303932645329101,0.04401736832589229,0.16871215195977032
6,Northwest Rel Hum,0.2184638358685332,0.2345057274348375,0.07144484656284293,0.06498669494842367,0.18801912047017025,0.12730903788073072,1.0,0.006088286589283435,0.09365893978203477,0.07725828122966086,0.4943888411309951,0.2187565825079659,0.1211325205157984,0.026427119601951533,0.4160757181165821,0.0258250197207544,0.06594532350384763,0.0040316091295690155,0.1784390690189578,0.3091789623694937,0.06551431250183079,0.08937848020561501,0.3905977926013286,0.1427920286641314,0.11162376951811667,0.03467087336230965,0.40264304917663707,0.0940245145781244,0.053164934823455266,0.07223663392182475,0.3927663407159824,1.1908692369196294e-13,0.05161201245953477,0.4627675238997503,0.1144624917015276,0.003136164820489095,0.0930476000012008,0.07301413802000938,0.08452661073779325,0.0,0.0661803248917204,0.3703598108644592,0.07283883076697757
7,Northeast,0.4854447757024402,0.4728792839237599,0.2423926855118982,0.7545713176065989,0.6935110204438734,0.6993584345119526,0.006088286589283435,1.0,0.7348352488955135,0.7160161280157786,0.05509066477412638,0.4861833759793775,0.7192894033809734,0.7149944691606158,0.014056659942464429,0.5840192924350368,0.3163314852229868,0.32166633689851565,0.053441554252382034,0.2950120413631018,0.7219651964667491,0.6785602191669461,0.08998312988855853,0.664785671812932,0.5895089979968625,0.6064248926704687,0.11329359217136716,0.2791012183250693,0.7083842719129648,0.7062203240164646,0.012308937420386482,1.3164585391311664e-12,0.7037017200855433,0.010414413400180934,0.07301061219773237,0.067183435142086,0.3815971743480879,0.08791310019302102,0.04898094445131672,0.0,0.6957747628048975,0.00954331505755387,0.10218122265271372
8,Northeast Temp,0.11340652221648626,0.06695114454870882,0.09699219734780623,0.694963749799395,0.8905129669632305,0.8713077322291714,0.09365893978203477,0.7348352488955135,1.0,0.9357192893763772,0.1732199831834726,0.18176158008239893,0.9450476113812866,0.8914281829635005,0.12456176430549172,0.3304621170732105,0.389025341408114,0.3553862480264693,0.08602636018526119,0.1270804649955165,0.94738321623439,0.8708333201936423,0.1624564237708326,0.387524563061138,0.8139151711355812,0.780579999967034,0.012736065047301176,0.2531310360390521,0.9574466950223164,0.9106092386606712,0.1287803250208003,2.88925813529688e-14,0.8971768928858284,0.16135062048902699,0.07365177762708497,0.11293783552230785,0.5380691108904762,0.06837840788252306,0.05054285919321085,0.0,0.8873254480721179,0.14630993971757278,0.15713306836622115
9,Northeast Dew Point Temp,0.16470465335724585,0.1211429490594965,0.11975954565314673,0.6704664693998489,0.8198486126480092,0.8567026903059765,0.07725828122966086,0.7160161280157786,0.9357192893763772,1.0,0.16388775609304307,0.240524907934598,0.8955431006261891,0.9247338883525772,0.1014821080525717,0.28994015526889394,0.3631484783809277,0.36302448823147604,0.0020428946356467765,0.046198086877436116,0.9181188521479172,0.9237463345426612,0.04084843777724051,0.40990928563233103,0.7687835215692431,0.8133513977011718,0.19834500087824092,0.2788312549675109,0.9270812667106092,0.9533492425037492,0.0949369394642967,5.2170768641529035e-15,0.9256910278097774,0.04551080827627589,0.07246389210378397,0.1070401617096515,0.5232703386739592,0.002228671168687957,0.04199087009093097,0.0,0.91422278392219,0.00810643176831212,0.0906533294988064
10,Northeast Rel Hum,0.16508078554979272,0.17440979970372372,0.07068493047461279,0.07649591705467595,0.21223687676750186,0.05342072318249052,0.4943888411309951,0.05509066477412638,0.1732199831834726,0.16388775609304307,1.0,0.17363086299873948,0.15072686488012246,0.0827581965972904,0.6571981447297359,0.10872525215545166,0.07816726560522815,0.01396242673307199,0.2499757825781881,0.25355350711468866,0.09168403868495224,0.1467542507423744,0.6040414565746309,0.07680093669702498,0.13434914787417548,0.08315630187594142,0.6086432451081132,0.07247070343448501,0.09005250974978911,0.116467379330757,0.6456438056215199,9.2990556012479e-14,0.07607392700949056,0.5995091863558115,0.009034467837743964,0.03345715884473769,0.04379790094576147,0.1961483905922968,0.009602945497977492,0.0,0.07139884059300974,0.4588661667101109,0.1849000228848716
11,Ottawa,0.7882878038061344,0.8181744289111096,0.2975557501487751,0.390826754888826,0.17294086748878246,0.2406689400994831,0.2187565825079659,0.4861833759793775,0.18176158008239893,0.240524907934598,0.17363086299873948,1.0,0.18126815957856104,0.25055095473819594,0.20914361220135266,0.3638294825432442,0.0594789283792701,0.0930958505571571,0.1126335989251723,0.7427817592145126,0.1737826771820149,0.2065282642420567,0.08773881731398127,0.8042388432568793,0.10371340122161657,0.1819172446179304,0.23161965482625754,0.1836459242233386,0.1658420282471722,0.2228895782389892,0.18918017241629767,3.939385223254987e-13,0.2212275822303757,0.21956340100025007,0.07970741591992657,0.20891372562014002,0.00993868911688655,0.11456834377877224,0.07947176851952932,0.0,0.2160783416494738,0.171498302140629,0.02051138420444916
12,Ottawa Temp,0.09895419692721087,0.05077222357038843,0.09730347016390807,0.6750831389564549,0.8424553150016482,0.8158136652717746,0.1211325205157984,0.7192894033809734,0.9450476113812866,0.8955431006261891,0.15072686488012246,0.18126815957856104,1.0,0.9371862365514686,0.1487918464217321,0.3414018304339159,0.4116207004101261,0.3749925808412837,0.09576429111269556,0.1486889360459845,0.9500492521442108,0.8708702236514232,0.17498253963062768,0.3758624381046874,0.8343761321779606,0.7951849570499253,0.0332905054723227,0.24326805361985746,0.9400808211402941,0.8992605192676917,0.1115435801435587,1.5159750465120417e-14,0.8993416073862062,0.16048502711102622,0.00468451388721445,0.1296683511676502,0.5540748174834468,0.06373581205828162,0.013017158749402728,0.0,0.8754950977210043,0.16541153016120902,0.10006437362459383
13,Ottawa Dew Point Temp,0.1668222213507734,0.12089350487466928,0.12554047276943747,0.6536989407553933,0.7736292449587361,0.7943313713534694,0.026427119601951533,0.7149944691606158,0.8914281829635005,0.9247338883525772,0.0827581965972904,0.25055095473819594,0.9371862365514686,1.0,0.1925707525865021,0.2918544832297438,0.3847561046052425,0.39527618588024055,0.04095183860828576,0.049649435072432926,0.9171310642217719,0.9251047539032009,0.043546406927603455,0.4093119073844311,0.7839515921281487,0.8339045771874728,0.2122475995443097,0.2743692370808912,0.8973856261177586,0.928790764352675,0.11071809258297588,1.6141882388012973e-15,0.9242650049372848,0.06302829594182814,0.036543435493806516,0.1423977701114738,0.5366435806985651,0.023286679602734082,0.010603197922444232,0.0,0.89458529791288,0.009190828405675892,0.03201411692154115
14,OttawaRel Hum,0.2165864941828944,0.22364664180058486,0.09126668063075903,0.0422490251434053,0.1783545103435028,0.04706079052589216,0.4160757181165821,0.014056659942464429,0.12456176430549172,0.1014821080525717,0.6571981447297359,0.20914361220135266,0.1487918464217321,0.1925707525865021,1.0,0.1187788111907798,0.06411510263615502,0.06804522883687064,0.3953926691723485,0.3014081731144257,0.07001374159187326,0.17532653734133116,0.6325440037707107,0.12343023671664945,0.12260351276764245,0.12555229667768114,0.7076157419948329,0.09357848812107936,0.09590300154323356,0.10338172514548083,0.6276566885017927,1.6970566482196405e-14,0.09207244611300093,0.6340877708578668,0.08664244284399099,0.03179665028309904,0.036133999175464664,0.2376016724092568,0.055067700496298125,0.0,0.07352088965315637,0.5010742467305143,0.1928596852051873
15,East,0.6257017508827682,0.6289087835705679,0.2532402675262309,0.4149471693632073,0.32106876379202204,0.3110223852920677,0.0258250197207544,0.5840192924350368,0.3304621170732105,0.28994015526889394,0.10872525215545166,0.3638294825432442,0.3414018304339159,0.2918544832297438,0.1187788111907798,1.0,0.1695514760746578,0.16593063911521885,0.02520738202736094,0.4765522282072698,0.322164476476232,0.2574677206196434,0.16137818239169804,0.70917790122234,0.2650568016318325,0.24569843836610386,0.020945437995724986,0.15308229933129391,0.3089869697787799,0.2769245756546306,0.08751751969264701,5.174229521568305e-14,0.2864815144363022,0.08979463862217743,0.08422072745966577,0.03179346651149319,0.12216747533733187,0.18125262992380156,0.055375700659696776,0.0,0.2904325985399385,0.047121338723218026,0.06338534493952606
16,East Temp,0.0388336773773327,0.017671714621615806,0.03783715500861004,0.27463488006144393,0.3351774763488464,0.3181913900437793,0.06594532350384763,0.3163314852229868,0.389025341408114,0.3631484783809277,0.07816726560522815,0.0594789283792701,0.4116207004101261,0.3847561046052425,0.06411510263615502,0.1695514760746578,1.0,0.39640020984512375,0.016728127470242347,0.07145807444356897,0.392600923665997,0.34298137063739503,0.1134634051679652,0.15601057378031158,0.3869326978344091,0.3757174882539573,0.007107785743829122,0.100134528848198,0.3856239500330447,0.3711450575075497,0.037591080779080174,9.602592694072316e-14,0.3712614000776597,0.07387721686525142,0.017214220081481997,0.04149313441278126,0.2314762402949859,0.027768652818214338,0.00433114378406,0.0,0.36423201225088425,0.07261483397875211,0.035732586388751784
17,East Dew Point Temp,0.0756320627302978,0.06253732575404515,0.05554428250251655,0.2692694434977481,0.29960415678384245,0.3060453832889503,0.0040316091295690155,0.32166633689851565,0.3553862480264693,0.36302448823147604,0.01396242673307199,0.0930958505571571,0.3749925808412837,0.39527618588024055,0.06804522883687064,0.16593063911521885,0.39640020984512375,1.0,0.16857782323414522,0.01598660844654981,0.37081528162770416,0.3529308035167231,0.037659980855630416,0.1739135593850991,0.35480814395074584,0.3804541361050783,0.10646974056476176,0.10235222617083024,0.3559089565011679,0.3738892072201963,0.06393749748159748,3.0488082714244177e-14,0.37277931285786575,0.024849170095687587,0.03188661211703761,0.05927881728303151,0.2149888846238968,0.014728738130221837,0.009288936865887307,0.0,0.3645542948206927,0.00670965027000772,0.008409761696346319
18,East Rel Hum,0.13124479396673608,0.15300447037045295,0.08218189879252147,0.009850663568620523,0.10406135986202733,0.0469547971862017,0.1784390690189578,0.053441554252382034,0.08602636018526119,0.0020428946356467765,0.2499757825781881,0.1126335989251723,0.09576429111269556,0.04095183860828576,0.3953926691723485,0.02520738202736094,0.016728127470242347,0.16857782323414522,1.0,0.1741989792144924,0.05715242383373045,0.0227388752489058,0.1923846375261662,0.047346646334733525,0.08968608219869262,0.028907258469006863,0.3512319558497479,0.0171413852965145,0.0762263012364418,0.018955731712760708,0.3068244726837933,4.230561283521963e-13,0.009719421852854293,0.2763811636530173,0.02264821080341057,0.0946744261662155,0.036368360915175736,0.10693024714900384,0.02595562506165294,0.0,0.010969776440354382,0.2322093986817085,0.06750095583502164
19,Toronto,0.9093265261273896,0.9477229183984848,0.30495831675254875,0.1238249958453831,0.11791363871265602,0.029235421531616238,0.3091789623694937,0.2950120413631018,0.1270804649955165,0.046198086877436116,0.25355350711468866,0.7427817592145126,0.1486889360459845,0.049649435072432926,0.3014081731144257,0.4765522282072698,0.07145807444356897,0.01598660844654981,0.1741989792144924,1.0,0.13348949063078036,0.052444443909745585,0.2101029871499526,0.7215250364800829,0.16718484732001093,0.07028749316750793,0.2841137434277669,0.12953106997072306,0.14459168181739174,0.06497051320677723,0.2631983031542946,3.032366985895049e-14,0.06426294279242566,0.3071236012245442,0.09354073226869117,0.013486374319461321,0.19355898169494368,0.11752492435910865,0.10307315617993808,0.0,0.05530707315694043,0.30464350501658904,0.0027242966085536486
